GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RLZE001,RLZE002,RLZE003,RLZE004,RLZE005,RLZE006,RLZE007,RLZE008,RLZE009,RLZE010,RLZE011,RLZE012,RLZE013,RLZE014,RLZE015,RLZE016,RLZE017,RLZE018,RLZE019,RLZE020,RLZE021,NAME_M,RLZM001,RLZM002,RLZM003,RLZM004,RLZM005,RLZM006,RLZM007,RLZM008,RLZM009,RLZM010,RLZM011,RLZM012,RLZM013,RLZM014,RLZM015,RLZM016,RLZM017,RLZM018,RLZM019,RLZM020,RLZM021
"G10020","2005-2009","US",,,,,,,,,,,,,,,,"Abbeville, LA Micro Area","10020",,,,,,,,,,,,,,,,"31000US10020","Abbeville, LA Micro Area",22854,21472,19312,2160,1816,236,63,22,23,49,49,0,0,0,0,11,46,12,266,379,619,"Abbeville, LA Micro Area",687,670,709,306,284,108,55,25,31,34,34,123,123,123,123,17,44,21,130,132,152
"G10100","2005-2009","US",,,,,,,,,,,,,,,,"Aberdeen, SD Micro Area","10100",,,,,,,,,,,,,,,,"31000US10100","Aberdeen, SD Micro Area",21018,18493,16678,1815,1398,220,164,9,24,80,80,0,0,0,0,34,52,182,1102,89,986,"Aberdeen, SD Micro Area",446,476,494,237,189,83,92,10,22,49,49,99,99,99,99,33,37,96,169,43,191
"G10140","2005-2009","US",,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area","10140",,,,,,,,,,,,,,,,"31000US10140","Aberdeen, WA Micro Area",27668,25078,21572,3506,2077,496,495,250,188,325,322,0,0,0,3,0,22,188,897,119,1039,"Aberdeen, WA Micro Area",735,742,744,466,332,168,203,94,141,117,117,119,119,119,6,119,22,105,227,58,224
"G10180","2005-2009","US",,,,,,,,,,,,,,,,"Abilene, TX Metro Area","10180",,,,,,,,,,,,,,,,"31000US10180","Abilene, TX Metro Area",71256,66109,57725,8384,6368,977,505,503,31,276,276,0,0,0,0,34,264,300,1638,949,1686,"Abilene, TX Metro Area",1144,1173,1128,771,682,245,217,425,27,128,128,127,127,127,127,51,117,118,328,424,279
"G10220","2005-2009","US",,,,,,,,,,,,,,,,"Ada, OK Micro Area","10220",,,,,,,,,,,,,,,,"31000US10220","Ada, OK Micro Area",17760,16685,14593,2092,1495,271,63,85,178,9,9,0,0,0,0,0,41,28,353,173,471,"Ada, OK Micro Area",445,463,491,462,298,86,42,54,289,16,16,109,109,109,109,109,35,28,113,92,109
"G10260","2005-2009","PR",,,,,,,,,,,,,,,,"Adjuntas, PR Micro Area","10260",,,,,,,,,,,,,,,,"31000US10260","Adjuntas, PR Micro Area",4209,3723,3295,428,357,51,0,20,0,18,9,9,0,0,0,0,0,0,227,136,105,"Adjuntas, PR Micro Area",343,354,335,142,126,38,127,31,127,20,14,14,127,127,127,127,127,127,87,83,67
"G10300","2005-2009","US",,,,,,,,,,,,,,,,"Adrian, MI Micro Area","10300",,,,,,,,,,,,,,,,"31000US10300","Adrian, MI Micro Area",45081,41170,36290,4880,4057,450,216,115,42,128,128,0,0,0,0,0,128,92,1445,202,1916,"Adrian, MI Micro Area",873,1049,913,452,446,153,85,60,40,72,72,109,109,109,109,109,73,50,338,82,941
"G10380","2005-2009","PR",,,,,,,,,,,,,,,,"Aguadilla-Isabela-San Sebastián, PR Metro Area","10380",,,,,,,,,,,,,,,,"31000US10380","Aguadilla-Isabela-San Sebastián, PR Metro Area",82673,74214,66459,7755,5663,1125,442,398,127,795,200,565,20,0,10,16,196,272,4890,733,1557,"Aguadilla-Isabela-San Sebastián, PR Metro Area",1668,1705,1695,736,581,325,205,175,91,195,84,170,34,127,16,24,116,105,541,197,300
"G10420","2005-2009","US",,,,,,,,,,,,,,,,"Akron, OH Metro Area","10420",,,,,,,,,,,,,,,,"31000US10420","Akron, OH Metro Area",336642,312079,287833,24246,19951,2871,704,398,322,4305,4210,0,82,0,13,201,277,502,7520,1787,9971,"Akron, OH Metro Area",2134,2265,2228,1095,948,451,269,130,103,519,513,119,67,119,16,103,102,187,705,331,628
"G10460","2005-2009","US",,,,,,,,,,,,,,,,"Alamogordo, NM Micro Area","10460",,,,,,,,,,,,,,,,"31000US10460","Alamogordo, NM Micro Area",27158,25082,21543,3539,2563,493,123,252,108,130,125,5,0,0,0,0,163,95,408,208,1072,"Alamogordo, NM Micro Area",805,841,879,559,505,159,71,150,83,79,78,6,127,127,127,127,88,53,159,113,331
"G10500","2005-2009","US",,,,,,,,,,,,,,,,"Albany, GA Metro Area","10500",,,,,,,,,,,,,,,,"31000US10500","Albany, GA Metro Area",66051,61527,52528,8999,6120,1827,808,145,99,494,494,0,0,0,0,37,59,148,1589,403,1794,"Albany, GA Metro Area",1262,1290,1378,891,698,364,294,97,70,169,169,132,132,132,132,31,48,75,597,144,681
